wl,n
5.719701,0.005195
5.738693,0.005615
5.757811,0.005412
5.777058,0.005070
5.799673,0.004791
5.819201,0.004408
5.838860,0.004288
5.858653,0.003843
5.878580,0.003477
5.898644,0.003827
5.918844,0.003728
5.939184,0.004178
5.959664,0.004288
5.976840,0.003924
5.997581,0.004291
6.018466,0.005337
6.039497,0.005773
6.057137,0.005443
6.078440,0.005251
6.099893,0.004337
6.117884,0.003279
6.139617,0.002228
6.157848,0.001475
6.179866,0.002467
6.198337,0.003221
6.216918,0.003615
6.239362,0.003978
6.258186,0.002099
6.277129,0.000962
6.296186,0.000467
6.319207,0.001680
6.338517,0.002540
6.357950,0.002779
6.377502,0.002744
6.397171,0.002275
6.416965,0.002195
6.436883,0.002011
6.456924,0.002795
6.477087,0.003428
6.497380,0.002470
6.517800,0.002170
6.538345,0.002556
6.559024,0.002403
6.579835,0.001594
6.596576,0.001188
6.617626,0.001719
6.638806,0.002670
6.655853,0.002344
6.677279,0.001681
6.698848,0.001922
6.716201,0.002438
6.738022,0.004091
6.759986,0.012762
6.777658,0.030554
6.799881,0.056079
6.817762,0.070157
6.835737,0.076637
6.858344,0.055650
6.876539,0.033582
6.899411,0.021335
6.917825,0.015991
6.936333,0.012436
6.959611,0.008634
6.978343,0.005616
6.997176,0.004044
7.016116,0.003171
7.039928,0.003381
7.059101,0.003017
7.078373,0.002002
7.097751,0.000000
7.117240,0.000000
7.136832,0.000000
7.156531,0.001246
7.176345,0.002230
7.196264,0.002222
7.216293,0.003758
7.236440,0.007736
7.256694,0.011744
7.277067,0.008855
7.297550,0.006129
7.318148,0.005597
7.338868,0.005742
7.359700,0.004763
7.375404,0.004172
7.396444,0.005787
7.417611,0.005818
7.438893,0.003312
7.454937,0.001599
7.476434,0.000459
7.498062,0.001465
7.519809,0.001509
7.536204,0.001690
7.558173,0.000776
7.574736,0.001190
7.596937,0.000000
7.619262,0.000000
7.636094,0.000000
7.658651,0.000000
7.675663,0.000961
7.698455,0.001846
7.715639,0.002312
7.738668,0.002654
7.756032,0.002045
7.779310,0.002664
7.796858,0.002084
7.814484,0.000000
7.838109,0.000000
7.855922,0.000000
7.879798,0.000000
7.897802,0.000000
7.915889,0.000000
7.934058,0.000000
7.958419,0.000000
7.976784,0.000000
7.995235,0.000000
8.019967,0.000000
8.038618,0.000000
8.057355,0.000000
8.076181,0.000676
8.095095,0.000000
8.114097,0.000000
8.139571,0.000000
8.158790,0.000000
8.178086,0.000000
8.197487,0.000000
8.216967,0.000000
8.236554,0.000000
8.256220,0.000000
8.275994,0.000000
8.295850,0.000000
8.315815,0.000000
8.335869,0.000000
8.356020,0.000000
8.376269,0.000000
8.396616,0.000000
8.417062,0.000000
8.437608,0.000000
8.458255,0.000000
8.479003,0.000000
8.499853,0.000000
8.513805,0.000000
8.534826,0.000000
8.555952,0.000000
8.577183,0.000000
8.598519,0.000000
8.619961,0.000000
8.634318,0.000000
8.655940,0.000000
8.677671,0.000000
8.699510,0.000600
8.714134,0.000420
8.736158,0.000025
8.758293,0.000000
8.773107,0.000000
